timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,0
5,50,0,4750,95,0
6,50,0,4700,94,0
7,50,0,4650,93,0
8,50,0,4600,92,0
9,50,0,4550,91,0
10,51,0,4500,88,1
11,52,0,4449,85,1
12,53,0,4397,82,1
13,54,0,4344,80,1
14,55,0,4290,78,1
15,56,0,4235,75,1
16,57,0,4179,73,1
17,58,0,4122,71,1
18,59,0,4064,68,1
19,60,0,4005,66,1
20,61,0,3945,64,1
21,62,0,3884,62,1
22,63,0,3822,60,1
23,64,0,3759,58,1
24,65,0,3695,56,1
25,66,0,3630,55,1
26,67,0,3564,53,2
27,68,0,3597,52,2
28,69,0,3529,51,1
29,70,0,3460,49,1
30,71,0,3390,47,1
31,72,0,3319,46,2
32,73,0,3347,45,2
33,74,0,3274,44,1
34,75,0,3200,42,1
35,76,0,3125,41,1
36,77,0,3049,39,2
37,78,0,3072,39,2
38,79,0,2994,37,2
39,80,0,3015,37,2
40,81,0,2935,36,1
41,82,0,2854,34,3
42,83,0,2972,35,3
43,84,0,2889,34,1
44,85,0,2805,33,1
45,86,0,2720,31,1
46,87,0,2634,30,3
47,88,0,2747,31,3
48,89,0,2659,29,1
49,90,0,2570,28,1
50,91,0,2480,27,1
51,92,0,2389,25,3
52,92,0,2497,27,2
53,92,0,2405,26,0
54,92,0,2313,25,0
55,92,0,2221,24,0
56,92,0,2129,23,2
57,92,0,2237,24,2
58,92,0,2145,23,0
59,92,0,2053,22,0
60,92,0,1961,21,0
61,92,0,1869,20,2
62,92,0,1977,21,2
63,92,0,1885,20,0
64,92,0,1793,19,0
65,92,0,1701,18,0
66,92,0,1609,17,2
67,92,0,1717,18,2
68,92,0,1625,17,0
69,92,0,1533,16,0
70,92,0,1441,15,0
71,92,0,1349,14,2
72,92,0,1457,15,2
73,92,0,1365,14,0
74,92,0,1273,13,0
75,92,0,1181,12,0
76,92,0,1089,11,2
77,92,0,1197,13,2
78,92,0,1105,12,0
79,92,0,1013,11,0
80,91,1,921,10,0
81,90,2,830,9,2
82,89,3,940,10,2
83,88,4,851,9,0
84,87,5,763,8,0
85,86,6,676,7,0
86,85,7,590,6,1
87,84,8,605,7,1
88,83,9,521,6,0
89,82,10,438,5,0
90,81,11,356,4,0
91,80,12,275,3,1
92,79,13,295,3,1
93,78,14,216,2,0
94,77,15,138,1,0
95,76,16,61,0,0
96,0,92,-15,0,0
97,0,92,-15,0,0
98,0,92,-15,0,0
99,0,92,-15,0,0
100,0,92,-15,0,0
