timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,8
2,50,0,4900,98,8
3,50,0,4850,97,8
4,50,0,4800,96,8
5,50,0,4750,95,8
6,50,0,4700,94,8
7,50,0,4650,93,8
8,50,0,4600,92,8
9,50,0,4550,91,8
10,50,0,4500,90,8
11,50,0,4450,89,8
12,50,0,4400,88,8
13,50,0,4350,87,8
14,50,0,4300,86,8
15,50,0,4250,85,8
16,50,0,4200,84,8
17,50,0,4150,83,8
18,50,0,4100,82,8
19,50,0,4050,81,8
20,50,0,4000,80,8
21,50,0,3950,79,8
22,50,0,3900,78,8
23,50,0,3850,77,8
24,50,0,3800,76,8
25,50,0,3750,75,8
26,50,0,3700,74,8
27,50,0,3650,73,8
28,50,0,3600,72,8
29,50,0,3550,71,8
30,50,0,3500,70,8
31,50,0,3450,69,8
32,50,0,3400,68,8
33,50,0,3350,67,8
34,50,0,3300,66,8
35,50,0,3250,65,8
36,50,0,3200,64,8
37,50,0,3150,63,8
38,50,0,3100,62,8
39,50,0,3050,61,8
40,50,0,3000,60,8
41,50,0,2950,59,8
42,50,0,2900,58,8
43,50,0,2850,57,8
44,50,0,2800,56,8
45,50,0,2750,55,8
46,50,0,2700,54,8
47,50,0,2650,53,8
48,50,0,2600,52,8
49,50,0,2550,51,8
50,50,0,2500,50,8
51,50,0,2450,49,8
52,50,0,2400,48,8
53,50,0,2350,47,8
54,50,0,2300,46,8
55,50,0,2250,45,8
56,50,0,2200,44,8
57,50,0,2150,43,8
58,50,0,2100,42,8
59,50,0,2050,41,8
60,50,0,2000,40,8
61,50,0,1950,39,8
62,50,0,1900,38,8
63,50,0,1850,37,8
64,50,0,1800,36,8
65,50,0,1750,35,8
66,50,0,1700,34,8
67,50,0,1650,33,8
68,50,0,1600,32,8
69,50,0,1550,31,8
70,50,0,1500,30,8
71,50,0,1450,29,8
72,50,0,1400,28,3
73,50,0,1350,27,3
74,50,0,1300,26,3
75,50,0,1250,25,3
76,50,0,1200,24,3
77,50,0,1150,23,3
78,50,0,1100,22,3
79,50,0,1050,21,3
80,49,1,1000,20,2
81,48,2,951,19,1
82,47,3,903,19,0
83,46,4,856,18,0
84,45,5,810,18,0
85,44,6,765,17,0
86,43,7,721,16,0
87,42,8,678,16,0
88,41,9,636,15,0
89,40,10,595,14,0
90,39,11,555,14,0
91,38,12,516,13,0
92,37,13,478,12,0
93,36,14,441,12,0
94,35,15,405,11,0
95,34,16,370,10,0
96,33,17,336,10,0
97,32,18,303,9,0
98,31,19,271,8,0
99,30,20,240,8,0
100,29,21,210,7,0
101,28,22,181,6,0
102,27,23,153,5,0
103,26,24,126,4,0
104,25,25,100,4,0
105,24,26,75,3,0
106,23,27,51,2,0
107,22,28,28,1,0
108,21,29,6,0,0
109,0,50,-15,0,0
110,0,50,-15,0,0
111,0,50,-15,0,0
112,0,50,-15,0,0
113,0,50,-15,0,0
