timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,45,0,4455,99,45,20,0,1980,99,20
2,45,0,4410,98,45,20,0,1960,98,20
3,45,0,4365,97,45,20,0,1940,97,20
4,45,0,4320,96,45,20,0,1920,96,20
5,45,0,4275,95,45,20,0,1900,95,20
6,45,0,4230,94,45,20,0,1880,94,20
7,45,0,4185,93,45,20,0,1860,93,20
8,45,0,4140,92,45,20,0,1840,92,20
9,45,0,4095,91,45,20,0,1820,91,20
10,46,0,4050,88,46,21,0,1800,85,21
11,47,0,4004,85,47,22,0,1779,80,22
12,48,0,3957,82,48,23,0,1757,76,23
13,49,0,3909,79,49,24,0,1734,72,24
14,50,0,3860,77,50,25,0,1710,68,25
15,51,0,3810,74,51,26,0,1685,64,26
16,52,0,3759,72,52,27,0,1659,61,27
17,53,0,3707,69,53,28,0,1632,58,28
18,54,0,3654,67,54,29,0,1604,55,29
19,55,0,3600,65,55,30,0,1575,52,30
20,56,0,3545,63,56,31,0,1545,49,31
21,57,0,3489,61,57,32,0,1514,47,32
22,58,0,3432,59,58,33,0,1482,44,33
23,59,0,3374,57,59,34,0,1449,42,34
24,60,0,3315,55,60,35,0,1415,40,35
25,61,0,3255,53,61,36,0,1380,38,36
26,62,0,3194,51,62,37,0,1344,36,37
27,63,0,3132,49,63,38,0,1307,34,38
28,64,0,3069,47,64,39,0,1269,32,39
29,65,0,3005,46,65,40,0,1230,30,40
30,66,0,2940,44,66,41,0,1190,29,41
31,67,0,2874,42,67,42,0,1149,27,42
32,68,0,2807,41,68,43,0,1107,25,43
33,69,0,2739,39,69,43,0,1064,24,42
34,70,0,2670,38,70,43,0,1021,23,41
35,71,0,2600,36,71,43,0,978,22,40
36,72,0,2529,35,72,43,0,935,21,39
37,73,0,2457,33,73,43,0,892,20,38
38,74,0,2384,32,74,43,0,849,19,38
39,75,0,2310,30,75,43,0,906,21,38
40,76,0,2235,29,76,43,0,863,20,37
41,77,0,2159,28,77,43,0,820,19,38
42,78,0,2082,26,78,43,0,977,22,38
43,78,0,2004,25,78,43,0,934,21,37
44,78,0,1926,24,77,43,0,891,20,38
45,78,0,1848,23,76,43,0,1048,24,39
46,78,0,1770,22,75,43,0,1105,25,39
47,78,0,1692,21,74,43,0,1062,24,38
48,78,0,1614,20,73,43,0,1019,23,39
49,78,0,1536,19,73,43,0,1176,27,39
50,78,0,1558,19,73,43,0,1133,26,39
51,78,0,1480,18,72,43,0,1090,25,41
52,78,0,1402,17,73,43,0,1247,29,41
53,78,0,1524,19,73,43,0,1304,30,41
54,78,0,1446,18,72,43,0,1261,29,41
55,78,0,1368,17,73,43,0,1218,28,42
56,78,0,1490,19,74,43,0,1275,29,42
57,78,0,1512,19,73,43,0,1232,28,43
58,78,0,1434,18,72,43,0,1289,29,43
59,78,0,1356,17,72,43,0,1246,28,43
60,78,0,1378,17,73,43,0,1203,27,43
61,78,0,1400,17,74,43,0,1160,26,43
62,78,0,1422,18,74,43,0,1117,25,43
63,78,0,1444,18,73,43,0,1074,24,42
64,78,0,1366,17,73,43,0,1031,23,41
65,78,0,1388,17,74,43,0,988,22,40
66,78,0,1410,18,73,43,0,945,21,39
67,78,0,1332,17,73,43,0,902,20,38
68,78,0,1354,17,74,43,0,859,19,38
69,78,0,1376,17,73,43,0,916,21,38
70,78,0,1298,16,73,43,0,873,20,37
71,78,0,1320,16,74,43,0,830,19,38
72,78,0,1342,17,73,43,0,987,22,38
73,78,0,1264,16,73,43,0,944,21,37
74,78,0,1286,16,75,43,0,901,20,38
75,78,0,1408,18,75,43,0,1058,24,39
76,78,0,1330,17,74,43,0,1115,25,39
77,78,0,1252,16,74,43,0,1072,24,38
78,78,0,1274,16,74,43,0,1029,23,39
79,78,0,1196,15,74,43,0,1186,27,39
80,78,0,1218,15,74,43,0,1143,26,39
81,78,0,1240,15,75,43,0,1100,25,41
82,78,0,1262,16,75,43,0,1257,29,41
83,78,0,1184,15,74,43,0,1314,30,41
84,78,0,1106,14,75,43,0,1271,29,41
85,78,0,1228,15,75,43,0,1228,28,42
86,78,0,1150,14,74,43,0,1285,29,42
87,78,0,1072,13,73,43,0,1242,28,43
88,78,0,994,12,73,43,0,1299,30,43
89,78,0,1016,13,74,43,0,1256,29,43
90,78,0,1038,13,73,43,0,1213,28,43
91,78,0,960,12,74,43,0,1170,27,43
92,78,0,1082,13,74,44,0,1127,25,44
93,77,1,1004,13,72,44,0,1083,24,43
94,76,2,927,12,70,44,0,1039,23,42
95,75,3,851,11,70,44,0,995,22,41
96,74,4,976,13,70,44,0,951,21,40
97,73,5,1002,13,68,44,0,907,20,39
98,72,6,929,12,66,44,0,863,19,39
99,71,7,857,12,65,44,0,919,20,39
100,70,8,886,12,65,44,0,875,19,38
101,69,9,916,13,64,44,0,831,18,39
102,68,10,847,12,65,44,0,987,22,39
103,67,11,1079,16,64,44,0,943,21,38
104,67,11,1012,15,63,44,0,899,20,39
105,67,11,945,14,62,44,0,1055,23,40
106,67,11,878,13,62,44,0,1111,25,40
107,67,11,911,13,64,44,0,1067,24,39
108,67,11,1044,15,64,44,0,1023,23,40
109,67,11,977,14,63,44,0,1179,26,40
110,67,11,910,13,63,44,0,1135,25,40
111,67,11,943,14,64,44,0,1091,24,41
112,67,11,976,14,64,44,0,1247,28,42
113,67,11,909,13,63,44,0,1303,29,42
114,66,12,842,12,62,44,0,1259,28,42
115,65,13,876,13,62,44,0,1215,27,43
116,64,14,911,14,60,44,0,1271,28,44
